TASK / LOCATION,Company,Part Number,Job Number,Sand Mold Size Cope/Cheek Top Down/Drag,Material,POUR WEIGHT,Owner,Quantity Needed,Molds Needed,Certs,CORES ORDERED,Promised Date,Heat treat,Notes,"Inform Melt of Large Mold ""Y""",Molds split off,Days on Pour List,,,,,,,,,,,,54,133
Waiting to be Assembled,WEY,"D-6915 DN50/80 S-16022A- MACH, D-6915 DN100/125 S-16022A-Cope PATTERN",34800/34801,40x45x12/12,Al 319,300,PP,,,No,,12/8/2025,,,,,,,,,,,,,,,,,,
Waiting to be Assembled,Water Hog,24 INCH PUMP HEAD -  Cope Core,35071,45x40x16/12 (12 for op2),WCB,3150,PP,1,1,1,,12/17/2025,Pattern,"Hot top, Pour Uphill, Maybe a wall",,,,,,,,,,,,,,,,
Waiting to be Assembled,Water Hog,24 INCH PUMP HEAD -  Drag Cores,35071,45x40x16/12 (12 for op2),WCB,3150,PP,1,1,1,,12/17/2025,Pattern,"Hot top, Pour Uphill, Maybe a wall",,,,,,,,,,,,,,,,
Waiting to be Assembled,Water Hog,24 INCH PUMP HEAD - MACH Robo Sample,35071,90x58x18F/20 (2-30x30x10 for sprues),WCB,3150,PP,Pattern,1,1,,12/17/2025,Pattern,"Hot top, Pour Uphill, Maybe a wall",,,,,,,,,,,,,,,,
Waiting to be Assembled,Water Hog,24 INCH PUMP HEAD -  Small Cores,35071,40x40x16/12 (12 for op2),WCB,3150,PP,1,1,1,,12/17/2025,Pattern,"Hot top, Pour Uphill, Maybe a wall",,,,,,,,,,,,,,,,
Waiting to be Assembled,Diamond Lane,SOLID SIDE-PELCO PM-PB-0693,35104,"50x50x20F (2x10"" Op1 & 2x8"" Op 2)/14",ASTM A48 CL 35 G.I,1221,MM,1,1,No,11/18/2025,12/19/2025,Stress Relieve,"Pour uphill (1st step), Hot top",,,,,,,,,,,,,,,,
Waiting to be Assembled,WMC,Y60-266 - ROBOCAST - 2/2,35199,40x40x12/12,MF01-010  (ASTM  A278 CL 30 G.I),373,MM,2,2,Yes,N/A,12/23/2025,,Hot top,,,,,,,,,,,,,,,,
Waiting to be Assembled,WMC,Y60-266 - ROBOCAST - 1/2,35199,40x40x12/12,MF01-010  (ASTM  A278 CL 30 G.I),373,MM,2,2,Yes,N/A,12/23/2025,,Hot top,,,,,,,,,,,,,,,,
Waiting to be Assembled,Flowserve,F000631079 - ROBOCAST-01106745 (SCP Certed MPI),35189,50x50x14/12,ASTM A995 Gr 1B CD4MCuN,1100,TK,2,2,Yes,11/26/2025,12/23/2025,Austenitize and Quench,"Hot Top, Pour Uphill, 1 Large Vacuum 45 min",,,,,,,,,,,,,,,,
Waiting to be Assembled,Siemens,M4336_A - ROBOCAST - Use same moldwork as 35195,35197,30x30x10/10,WCB,348,TK,2,2,Yes,N/A,1/7/2026,Normalized,"Hot Top, Pour Uphill",,,,,,,,,,,,,,,,
Waiting to be Assembled,Siemens,M4336_A - ROBOCAST,35195,30x30x10/10,WCB,348,TK,2,2,Yes,N/A,1/7/2026,Normalized,"Hot Top, Pour Uphill",,,,,,,,,,,,,,,,
Waiting to be Assembled,SOUTHERN CAST,X-Large Insert Pattern Blank 40x36x6 2/2,,60x58x16F/8,Al 319,1179,TK,2,2,No,,N/A,12/1/2024,,,,,,,,,,,,,,,,,
Being Assembled,CAT, remake 6645235 - ROBOCAST - Internal Expedite 1/5 - See Henry for spec pour at 2600° at the mold,35034,90x58x12F/16F(2x6 on top)/12F/12F,1E0356 (65-45-12 D.I),1615,PP,5,5,Yes,11/11/2025,11/21/2025,Stress Relieved,"Pour UP Hill, pour 2600°@ the mold, place riser caps and extra hot top over open risers",,,2,,,,,,,,,,,,,
Being Assembled,Flowserve,F001577292 - ROBOCAST-01127958,35228,30x30x10/10,WCB,260,BL,1,1,Yes,12/4/2025,12/23/2025,Normalized,"Pour Uphill on 2nd step, Hot Top",,,,,,,,,,,,,,,,
Ready to Pour,CAT,6664964- ROBOCAST - 4/4 - See Henry for spec,35036,40x40x12/12,1E0356 (65-45-12 D.I),300,PP,4,4,Yes,N/A,12/22/2025,Stress Relieved,"Pour Up Hill, DP side down",,,2,,,,,,,,,,,,,
Ready to Pour,RPM,29876 RPM 229  ROBOCAST 2/2,35190,"65X58X18F/12F/10F(4""F)/6 (30x30x15 Core)",65-45-12 D.I,2700,PP,2,2,Chems Only,11/25/2025,12/23/2025,,"Vacuum Vents 1 hr, make sure basin is full after pouring, if not, the domes won't be full",,,1,,,,,,,,,,,,,
Ready to Pour,Diamond Lane,081651-048UP- ROBOCAST-3D MOLD - extra,35198,30x30x10/10,46024-FA (60-45-15 or 60-40-18),117,TK,6,3,Yes,N/A,12/23/2025,,Pour Uphill,,,2,,,,,,,,,,,,,
Ready to Pour,ACT,ACT-DUMP-BODY-08.0 -ROBO -MACH - 2/2,35156,30x30x10/10,CF8M,190,TK,2,2,Yes,12/1/2025,12/30/2025,Austenitize and Quench,"Hot Top, Pour Uphill (first step), 3 Small Vacuums 30 min, Needs Borescoped",,,1,,,,,,,,,,,,,
Ready to Pour,ACT,ACT-DUMP-BODY-08.0 -ROBO -MACH - 1/2,35156,30x30x10/10,CF8M,190,TK,2,2,Yes,12/1/2025,12/30/2025,Austenitize and Quench,"Hot Top, Pour Uphill (first step), 3 Small Vacuums 30 min, Needs Borescoped",,,1,,,,,,,,,,,,,
Ready to Pour,ACI ,K-6659-A-2_1_1 - ROBOCAST,35141,40x40x12/12/12,ASTM A48 CL 40 Gray Iron (CI-04),650,CM,1,1,Yes,11/26/2025,12/31/2025,ACI Spec HT-01 ,"Pour uphill (first),Hot top and blanket, vacuum 45 min, borescope",,,1,,,,,,,,,,,,,
Ready to Pour,SOUTHERN CAST,Blast Wheel Part Rim Lock Blade - Tap for location,Internal,4 on printed mold-CM,White iron,30,CM,8,2,No,7/30/2025,,,"Hot top, build wall",,,16,,,,,,,,,,,,,
Ready to Pour,SOUTHERN CAST,Blast Wheel Part Rim Lock Blade - Tap for location,Internal,4 on printed mold-CM,White iron,30,CM,8,2,No,7/30/2025,,,"Hot top, build wall",,,16,,,,,,,,,,,,,
Cooling,Diamond Lane,"PM BLANK-PELCO SIDES-PB-0545 USE NEW MODELS - 1/2 Cut Cope on A, 11/24",35134,"50x50x20F (2x10"" Op1 & 2x8"" Op 2)/14",ASTM A48 CL 35 G.I,1221,MM,2,2,No,11/18/2025,12/22/2025,Stress Relieve,"Pour uphill (1st step), Hot top",,,2,,,,,,,,,,,,,
Cooling,Diamond Lane,PM BLANK-PELCO SIDES-PB-0545 USE NEW MODELS - 2/2,35134,"50x50x20F (2x10"" Op1 & 2x8"" Op 2)/14",ASTM A48 CL 35 G.I,1221,MM,2,2,No,11/18/2025,12/22/2025,Stress Relieve,"Pour uphill (1st step), Hot top",,,2,,,,,,,,,,,,,
Cooling,RPM,29876 RPM 229  ROBOCAST 1/2,35190,"65X58X18F/12F/10F(4""F)/6 (30x30x15 Core)",65-45-12 D.I,2700,PP,2,2,Chems Only,11/25/2025,12/23/2025,,"Vacuum Vents 1 hr, make sure basin is full after pouring, if not, the domes won't be full",,,1,,,,,,,,,,,,,
Grinding Room,Flowserve,"F002363200 - ROBOCAST-01135318 (Needs SCP Certed MPI, Xray at PTI, 3 extra bars) ",35062,"40x40x10F (2- 2x4""s) / 10F (2- 2x4""s) / 12",WCB,405,TK,1,1,Yes,11/5/2025,12/10/2025,Normalize,"Hot top, 2 Small Vacuums 15 min",,,4,,,,,,,,,,,,,
Grinding Room,Flowserve,F001196403 - ROBOCAST-4043789,35011,50x50x14F/12,WCB,900,PP,1,1,Yes,11/18/2025,12/10/2025,Normalized,"Vacuum Vents 45 min, hot top, borescope mold",,,1,,,,,,,,,,,,,
Grinding Room,Flowserve,F001196403 - ROBOCAST-4043789 2/2,35010,50x50x14F/12,WCB,900,PP,2,2,Yes,11/18/2025,12/10/2025,Normalized,"Vacuum Vents 45 min, hot top, borescope mold",,,1,,,,,,,,,,,,,
Grinding Room,Flowserve,"F002589897  -ROBOCAST-01135425 (SCP Certed LPI, Xray at PTI) - Internal Expedite ",34959,See OneNote for Mold Sizes,WCB,3080,TK,1,1,Yes,11/24/2025,12/10/2025,Normalized   ,"Hot Top, 4 Small Vacuums and 1 Large Vacuum for 1.5 hrs, Blankets over Center Risers, Needs Borescoped, Needs Wall for Weights",,,1,,,,,,,,,,,,,
Grinding Room,Flowserve,F002480381 - ROBOCAST-01135466 (Needs SCP Certed LPI),35059,50x50x16F/14F(2x6 on bottom)/12,WCB-NACE,1810,PP,1,1,Yes,,12/10/2025,Normalized,"Pour Up Hill, vacuum vents 25 min, Hot top, Borescope Mold",,,1,,,,,,,,,,,,,
Grinding Room,Diamond Lane,WINDOW SIDE-PELCO PM-PB-0693(Also Makes Job #'s: 35104 and 35134 see notes),35103,"50x50x20F (2x10"" Op1 & 2x8"" Op 2)/14",ASTM A48 CL 35 G.I,1221,MM,1,1,No,11/18/2025,12/19/2025,Stress Relieve,"Pour uphill (1st step), Hot top",,,1,,,,,,,,,,,,,
Grinding Room,Diamond Lane,PM BLANK-PELCO INSIDE-MACH,35105,40x40x16/20,ASTM A48 CL 35 G.I,405,MM,1,1,No,11/20/2025,12/19/2025,Stress Relieve,Hot top,,,2,,,,,,,,,,,,,
Grinding Room,Flowserve,F002663377- PATTERN - 11298928 Robo mold,35144,45x40x12/12,319 Al,190,CM,1,1,,N/a,12/21/2025,Quench and Temper,Pour temp 1300,,,2,,,,,,,,,,,,,
Grinding Room,CAT,6664964- ROBOCAST - 3/4 - See Henry for spec,35036,40x40x12/12,1E0356 (65-45-12 D.I),300,PP,4,4,Yes,N/A,12/22/2025,Stress Relieved,"Pour Up Hill, DP side down",,,1,,,,,,,,,,,,,
Grinding Room,CAT,6664964- ROBOCAST - 2/4 - See Henry for spec,35036,40x40x12/12,1E0356 (65-45-12 D.I),300,PP,4,4,Yes,N/A,12/22/2025,Stress Relieved,"Pour Up Hill, DP side down",,,1,,,,,,,,,,,,,
Grinding Room,Diamond Lane,081651-048UP- ROBOCAST-3D MOLD - 3/3,35198,30x30x10/10,46024-FA (60-45-15 or 60-40-18),117,TK,6,3,Yes,N/A,12/23/2025,,Pour Uphill,,,1,,,,,,,,,,,,,
Grinding Room,Diamond Lane,081651-048UP- ROBOCAST-3D MOLD - extra,35198,30x30x10/10,46024-FA (60-45-15 or 60-40-18),117,TK,6,3,Yes,N/A,12/23/2025,,Pour Uphill,,,1,,,,,,,,,,,,,
Grinding Room,Diamond Lane,081651-048UP- ROBOCAST-3D MOLD - 2/3,35198,30x30x10/10,46024-FA (60-45-15 or 60-40-18),117,TK,6,3,Yes,N/A,12/23/2025,,Pour Uphill,,,,,,,,,,,,,,,,
Grinding Room,Diamond Lane,081651-048UP- ROBOCAST-3D MOLD - 1/3,35198,30x30x10/10,46024-FA (60-45-15 or 60-40-18),117,TK,6,3,Yes,N/A,12/23/2025,,Pour Uphill,,,,,,,,,,,,,,,,
Grinding Room,Diamond Lane,081651-048UP- ROBOCAST-3D MOLD - 5/5,35176,30x30x10/10,46024-FA (60-45-15 or 60-40-18),117,TK,10,5,Yes,N/A,12/23/2025,,Pour Uphill,,,2,,,,,,,,,,,,,
Grinding Room,Diamond Lane,081651-048UP- ROBOCAST-3D MOLD - 4/5,35176,30x30x10/10,46024-FA (60-45-15 or 60-40-18),117,TK,10,5,Yes,N/A,12/23/2025,,Pour Uphill,,,2,,,,,,,,,,,,,
Grinding Room,Siemens,F19865AP2 - ROBOCAST,35194,30x30x10/10,60000-30 (30FE),200,JWA,1,1,Yes,12/1/2025,1/6/2026,,"Hot top, Pour Uphill, Vacuum 45 min",,,1,,,,,,,,,,,,,
Grinding Room,Siemens,M4397_B - ROBOCAST - 3D MOLD (REPEAT),35196,Printed mold- CM,WCB,65,CM,1,1,Yes,12/1/2025,1/7/2026,Normalized,"Pour uphill, build wall",,,2,,,,,,,,,,,,,
Grinding Room,Siemens,7K01556-001 - ROBOCAST,35185,30x30x15/15,CM-3113 (ASTM A48 Cl 30 G.I),130,MM,1,1,Yes,12/1/2025,1/9/2026,,Hot top,,,1,,,,,,,,,,,,,
Grinding Room,Siemens,3K01699 - ROBOCAST - 3D MOLD (Repeat),35167,Printed mold,ASTM A890 Gr 1B CD4MCuN,35,CM,1,,Yes,11/19/2025,1/12/2026,Austenitize and Quench,"Pour uphill, hot top, No wall",,,4,,,,,,,,,,,,,
Grinding Room,SOUTHERN CAST,I Beam Lifting Hanger Rev 1 - Will go to pattern in future - Tap for location (8-on) (4/5),Internal,44x28x10/10,WCB,50,CM,40,5,No,N/a,,Normalized,"Hot top, Pour uphill, 2 Direct pours ",,,3,,,,,,,,,,,,,
Grinding Room,SOUTHERN CAST,I Beam Lifting Hanger Rev 1 - Will go to pattern in future - Tap for location (8-on) (5/5),Internal,44x28x10/10,WCB,50,CM,40,5,No,N/a,,Normalized,"Hot top, Pour uphill, 2 Direct pours ",,,4,,,,,,,,,,,,,
Heat Treat,Flowserve,F002274075 - ROBOCAST-01134418 (Needs SCP Certed LPI) (Rescan) (Repeat),35165,40x40x12/12,ASTM A351 CF3M,480,MM,1,1,Yes,11/18/2025,12/11/2025,Austenitize and Quench,"Hot top, Pour Uphill(1 step), Borescope Mold, Small vacuum 40mins",,,1,,,,,,,,,,,,,
Heat Treat,Bayou,EVOQUA-11 -ROBO-8X6X17 CASE - Foseco Alcohol Based Sample,Internal,"50x50x18F (2x6"" Op1, 2x8"" Op2, & 6"" flask) / 12",ASTM A995 CD4MCuN,1500,TK,3,3,Yes,9/8/2025,12/20/2025,Austenitize and Quench,"Hot Top, Pour Uphill, 1 Large Vacuum 1 hr, Needs Borescoped, Temp at Mold (2900-2920oF)",,,3,,,,,,,,,,,,,
Heat Treat,Bayou,EVOQUA-11 -ROBO-8X6X17 CASE - Foseco Water Based Sample,Internal,"50x50x18F (2x6"" Op1, 2x8"" Op2, & 6"" flask) / 12",ASTM A995 CD4MCuN,1500,TK,3,3,Yes,9/8/2025,12/20/2025,Austenitize and Quench,"Hot Top, Pour Uphill, 1 Large Vacuum 1 hr, Needs Borescoped, Temp at Mold (2900-2920oF)",,,4,,,,,,,,,,,,,
Inspection,Siemens,70002 SAMPLING AND DEVELOPMENT,34876,"""70002 Frontier 40H AL Sampling"" On OneNote",70002 (Frontier 40H),,,,,Yes,,10/20/2025,T5? TBD,,,,,,,,,,,,,,,,,
Inspection,Flowserve,"F002424726 - ROBOCAST-01135396 (Need SCP Certed MPI, UT at PTI) -  (Rescan)",35024,40x40x14F/14F/12,ASTM A487 CA6NM CL B NACE,850,MM,1,1,Yes,11/11/2025,11/26/2025,Quench and Double Temper,"Hot Top and blanket, Large Vacuum 30mins",,,1,,,,,,,,,,,,,
Inspection,Flowserve,F002523975 - ROBOCAST-01135501 (needs SCP Certed LPI) ,35054,65x58x16F(6F centered)/16F(6F centered)/12,WCB,3152,CM,1,1,Yes,11/7/2025,12/8/2025,Normalized and Tempered,"Hot top, Pour Uphill (1 step), large vacuum 45 min, borescope",,,1,,,,,,,,,,,,,
Inspection,Flowserve,F001196403 - ROBOCAST-4043789 1/2,35010,50x50x14F/12,WCB,900,PP,2,2,Yes,11/18/2025,12/10/2025,Normalized,"Vacuum Vents 45 min, hot top, borescope mold",,,1,,,,,,,,,,,,,
Inspection,Flowserve,"F002386187 - ROBO-01135005 (Needs SCP Certed MPI, UT at PTI)",35068,40x45x12/16/12,WCB,653,MM,1,1,Yes,11/5/2025,12/10/2025,Normalized,"Hot top, Large Vacuum 15mins",,,1,,,,,,,,,,,,,
Inspection,Flowserve,F002429222 - ROBOCAST-01135022 (Needs SCP Certed MPI),35100,30x30x10/15/10,WCB,495,CM,1,1,Yes,11/11/2025,12/12/2025,Normalize and Temper,"Hot top, small vacuum 20 min, Borescope before pour",,,1,,,,,,,,,,,,,
Inspection,Flowserve,D17809 - ROBOCAST - 08057382 rescan casting,35173,30x30x10/10,WCB,245,PP,1,1,Yes,11/24/2025,12/15/2025,Normalized,"Hot top, Pour Uphill, Vacuum Vents 15 mins",,,2,,,,,,,,,,,,,
At Foundry For Sample,RPM,54796-01-DXP- PATTERN -RPM1839 and 54803-01-DXP- PATTERN -RPM1839,35137/35138,Medium insert from billet stay within 20.25x17.625x6.50,Pattern,140,CM,,,,11/14/2025,12/12/2025,,"Hot top, sample small vac 15 min vs no vacuum ",,,,,,,,,,,,,,,,
At Foundry For Sample,CAT,6641124 -  PATTERNCAST,35088,1 on large insert / PP,Pattern,,PP,,,Yes,,12/14/2025,,,,,,,,,,,,,,,,,,
At Machine Shop,SOUTHERN CAST,30x30x10 Flask,,60x58x12F/16,Al 356 - T6,575,,1,1,No,N/A,6/6/2024,,Liq. Hot top @10 min,,,3,,,,,,,,,,,,,
At Machine Shop,SOUTHERN CAST,Large Insert Pattern Blank 4/4 SAVE FOR DRAINING,Internal,60x58x12F/16,Al 319,800,PP,1,1,No,N/A,12/1/2025,T6,,,,1,,,,,,,,,,,,,
At Machine Shop,WEY,"D-6915 DN50/80 S-16022A- 8"" Hand Wheel, printed sample",34800,Printed,65-45-12,100,PP,,1,1,10/24/2025,12/8/2025,,Hot Top,,,6,,,,,,,,,,,,,
At Machine Shop,Southern Cast,"36x31.5x10 - 5"" Extension - Tap for location - 2/2",Internal,50x50x12/12,Al 356 - T6,220,,2,2,No,N/A,N/A,,Pour at 1250°F,,,,,,,,,,,,,,,,
At Machine Shop,Southern Cast,"36x31.5x10 - 5"" Extension - Tap for location - 1/2",Internal,50x50x12/12,Al 356 - T6,220,,2,2,No,N/A,N/A,,Pour at 1250°F,,,,,,,,,,,,,,,,
Shipping,Siemens,21298-902- ROBO-21298-901,35187,Printed mold CM,CM-3113 (ASTM A48 Cl 30 G.I),60,CM,1,,Yes,11/26/2025,1/14/2025,,"Pour uphill (first), hot top, vacuum 15 min",,,3,,,,,,,,,,,,,
Shipping,Howden,WIP-2pcs  H4402 - ROBOCAST-91054032 (Repeat) ,34952,30x30x10/10,AL-5 (ASTM B26 319),150,MM,2,2,Yes,N/A,11/14/2025,,Pour Temp 1250°,,,2,,,,,,,,,,,,,
Shipping,WMC,P900ANX2_02 - ROBOCAST (Send one for machine approval) - 1/2,35055,60x58x20F/14,DE12J-0549 (CA6NM CL A),1731,MM,2,2,Yes,11/12/2025,11/26/2025,Quench and Temper,"Hot top, pour Uphill (1 step), 2 - Large vacuum 35mins, Borescope mold",,,2,,,,,,,,,,,,,
Shipping,Flowserve,F000731208 UH-ROBO- 66836392 use 1535A30X11GA UH part folder - Needs rescanned,35060,40x40x20/12/12,ASTM A351 CF3M,590,BL,1,1,Yes,,12/10/2025,Austenitize and Quench,"Pour uphill, vacuum vents for 1.5hrs",,,2,,,,,,,,,,,,,
Shipping,Flowserve,F000731210 LH-ROBO-66836393 use 1535A30X11GA-LH part folder - NEEDS RESCANNED,35061,50x50x16F/12F/6,ASTM A351 CF3M,1025,BL,1,1,Yes,,12/10/2025,Austenitize and Quench,"Pour uphill, Needs borescoped, Vacuum vents for 45 min",,,1,,,,,,,,,,,,,
SHIPPED,Siemens,60158-901 - ROBOCAST,35170,30x30x10/10,CM-3113 (ASTM A48 Cl 30 G.I),126,BL,1,1,Yes,11/21/2025,12/23/2025,,"Hot Top, Pour uphill",,,3,,,,,,,,,,,,,
SHIPPED,Flowserve,F002192198 - ROBOCAST-67398578,35049,40x40x16/12,ASTM A278 CL 30 Gray Iron,260,MM,1,1,Yes,11/6/2025,12/23/2025,,"Hot Top,Pour uphill, Large Vacuum 25mins",,,3,,,,,,,,,,,,,
NDT Inspection,Siemens ,H9315A - ROBOCAST-2/2,35142,30x30x15/10/10,ASTM A216 WCB (Spec 62000-00),340,JWA,2,2,Yes,11/14/2025,12/11/2025,Normalized and Temper,"Expedite, Need X-Ray, Vacuum 30 min, Hot top",,,,,,,,,,,,,,,,
NDT Inspection,Siemens ,H9315A - ROBOCAST-1/2,35142,30x30x15/10/10,ASTM A216 WCB (Spec 62000-00),340,JWA,2,2,Yes,11/14/2025,12/11/2025,Normalized and Temper,"Expedite, Need X-Ray, Vacuum 30 min, Hot top",,,1,,,,,,,,,,,,,
NDT Inspection,Siemens,P9178 - ROBOCAST (Certed UT at PTI),35132,30x30x10/10,WCB,120,MM,1,1,Yes,11/14/2025,12/20/2025,Normalized,"Hot top, Pour Uphill (1 step)",,,1,,,,,,,,,,,,,
Waiting on Pattern,WEY,"D-6915 DN50/80 S-16022A- MACH, D-6915 DN100/125 S-16022A-MACH PATTERN",34800/34801,2 on mold,Pattern,,PP,,,No,,12/8/2025,,,,,,,,,,,,,,,,,,
Waiting on Pattern,Water Hog,24 INCH PUMP HEAD -Pattern,35071,90x58x24F/20,,,PP,Pattern,1,1,,12/17/2025,Pattern,"Hot top, Pour Uphill, Maybe a wall",,,,,,,,,,,,,,,,
Waiting on Pattern,Flowserve,F002663377- PATTERN - 11298928 (6 on),35144,Make 6pcs for sample CM,ASTM A743 CA6NM CL A,85,CM,Pattern,,Yes,N/a,12/21/2025,Quench and Temper,Hot top,,,,,,,,,,,,,,,,
